2019S,"BIA 600JP",W,0515PM,0800PM,JP,OFF,CLOSED,LEC
2019S,"CE  304RB",M,0100PM,0150PM,,BC,320,RCT
2019S,"CE  322A",R,0230PM,0420PM,,BC,221,L/L
2019S,"CE  345A",W,1000AM,1140AM,,B,715,LEC
2019S,"CE  345A",M,1200PM,1250PM,,B,715,LEC
2019S,"CE  373A",TR,1230PM,0145PM,,P,120,LEC
2019S,"CE  410A",M,0615PM,0845PM,,K,360,LEC
2019S,"CE  424A",TR,0230PM,0420PM,,E,230,L/L
2019S,"CE  424X",TR,0230PM,0420PM,,N/A,N/A,L/L
2019S,"CE  424X1",TR,0230PM,0420PM,,E,230,L/L
2019S,"CE  424X2",TR,0230PM,0420PM,,X,104,L/L
2019S,"CE  424X4",TR,0230PM,0420PM,,N/A,N/A,L/L
2019S,"CE  483A",R,0930AM,1020AM,,BC,122,LEC
2019S,"CE  483A",F,0900AM,0950AM,,P,120,LEC
2019S,"CE  483LA",F,1000AM,1150AM,,X,504,LAB
2019S,"CE  483LB",F,1200PM,0150PM,,X,504,LAB
2019S,"CE  483LC",F,0200PM,0350PM,,X,504,LAB
2019S,"CE  483LD",F,0400PM,0550PM,,X,504,LAB
2019S,"CE  499A",TBA,,,,N/A,N/A,LEC
2019S,"CE  504A",M,0100PM,0150PM,,BC,310,LEC
2019S,"CE  504A",TR,1100AM,1150AM,,BC,319,LEC
2019S,"CE  520A",R,0630PM,0900PM,,K,360,LEC
2019S,"CE  530A",T,0330PM,0600PM,,D,242,LEC
2019S,"CE  565A",T,0630PM,0900PM,,K,228,LEC
2019S,"CE  578A",M,0300PM,0530PM,,M,105,LEC
2019S,"CE  595A",W,0630PM,0900PM,,X,218B,LEC
2019S,"CE  621A",R,0630PM,0900PM,,P,216,LEC
2019S,"CE  649A",T,0615PM,0845PM,,X,414,LEC
2019S,"CE  649WS",TBA,,,,OFF,WEB,LEC
2019S,"CE  681A",T,0630PM,0900PM,,E,330,LEC
2019S,"CE  685A",M,0615PM,0845PM,,,,LEC
2019S,"CE  687LE",R,0630PM,0900PM,LE,OFF,CLOSED,LEC
2019S,"CE  702A",TBA,,,,OFF,TBA,LEC
2019S,"CE  702B",TBA,,,,OFF,TBA,LEC
2019S,"CE  800A",TBA,,,,,,LEC
2019S,"CE  801A",TBA,,,,N/A,N/A,LEC
2019S,"CE  802A",TBA,,,,N/A,N/A,LEC
2019S,"CE  810B",TBA,,,,N/A,N/A,LEC
2019S,"CE  900A",TBA,,,,N/A,N/A,LEC
2019S,"CE  900B",TBA,,,,N/A,N/A,LEC
2019S,"CE  900D",TBA,,,,N/A,N/A,LEC
2019S,"CE  950A",TBA,,,,N/A,N/A,LEC
2019S,"CE  960A",TBA,,,,N/A,N/A,LEC
2019S,"CE  960B",TBA,,,,N/A,N/A,LEC
